SN201: c:0.042000188866637575 t0:0.1356784914182705 x0:1.1107981463572776e-05 x1:0.12228632791429808 
SN202: c:0.05276231265452248 t0:0.062139291699072514 x0:1.6633877532122998e-05 x1:0.10230816490348038 
SN203: c:0.04028650199143405 t0:0.16450005170737744 x0:3.779447171512931e-05 x1:0.09412212248977637 
SN204: c:0.05998870458164413 t0:0.08515937071426809 x0:6.960587441343578e-06 x1:0.14791278071072142 
SN205: c:0.05477416193825364 t0:0.2419634439157786 x0:3.4376581680956e-05 x1:2.256901539901658 
SN206: c:0.06380795242493972 t0:0.059781543380990426 x0:9.038572477676037e-06 x1:0.059739616493386896 
SN207: c:0.03953558018450262 t0:0.1420792634892851 x0:3.0467101422864263e-05 x1:0.09357259706806381 
SN208: c:0.03140285217672406 t0:0.02617141980392862 x0:2.4820444704370424e-05 x1:0.02536901781232949 
SN209: c:0.037636241082414444 t0:0.05765684476206098 x0:1.798308235456783e-05 x1:0.08190224300450662 
SN210: c:0.07569016830937189 t0:0.06446706590739074 x0:6.786976631062417e-06 x1:0.11067133249152254 
SN211: c:0.04959484885109413 t0:0.07183746046448826 x0:7.94009103734648e-06 x1:0.142751946871725 
SN212: c:0.0433119916262064 t0:0.0596594328836037 x0:9.843410405982011e-06 x1:0.07709072118689561 
SN213: c:0.060876033558366724 t0:0.06354658568996724 x0:4.9266720480524564e-05 x1:0.08885992083368273 
SN214: c:0.06536391963637429 t0:0.06530903007497027 x0:1.4240910153470454e-05 x1:0.14266121878506707 
SN215: c:0.06597761408867507 t0:0.07085135556284576 x0:6.229514476395284e-06 x1:0.1423986985192548 
SN216: c:0.0545586137671556 t0:0.05259743159913402 x0:2.0998314746358677e-05 x1:0.07524298766920266 
SN217: c:0.04728475937995981 t0:0.03962091377765912 x0:3.2285279646061055e-05 x1:0.0652554706618024 
SN218: c:0.05401320489646093 t0:0.050728799606982435 x0:2.531315390122967e-05 x1:0.042946965125228984 
SN219: c:0.1908625576615927 t0:0.09410233445827976 x0:6.278043851009067e-06 x1:0.8866964502588383 
SN220: c:0.04298018537635624 t0:0.04269349623774316 x0:3.40718368528471e-05 x1:0.07411604890480628 
SN221: c:0.0879768214969624 t0:0.3124021202102149 x0:2.9402374086054208e-05 x1:0.330891553768695 
SN222: c:0.06992028301650648 t0:0.06617424598867704 x0:1.478137570515188e-05 x1:0.1372409196461956 
SN223: c:0.05084665464911394 t0:0.06534702715762071 x0:1.527456313929112e-05 x1:0.10812443072367013 
SN224: c:0.05499151084354476 t0:0.1000685570509897 x0:1.1451845415974153e-05 x1:0.12294842771801318 
SN225: c:0.02274647049239807 t0:0.20686245765928535 x0:0.0008184821894805825 x1:0.615908105814982 
SN226: c:0.03236452862698971 t0:0.06336671515400771 x0:3.996753987591852e-06 x1:0.15250191227721605 
SN227: c:0.0482483722080715 t0:0.053926442676180346 x0:2.3751489348356063e-05 x1:0.08728886469626965 
