SN131: c:0.0386749801082 t0:0.0329144593809 x0:4.80233997857e-05 x1:0.0590778617487 
SN132: c:0.0725069852363 t0:0.0595152385138 x0:2.0314979225e-05 x1:0.108797460717 
SN133: c:0 t0:0 x0:0 x1:0
SN134: c:0.04155803519 t0:0.0417526379115 x0:9.25895690959e-06 x1:0.0449222127079 
SN135: c:0.0351139519089 t0:0.0540432739264 x0:1.89549767305e-05 x1:0.145652922651 
SN136: c:0.0607256941126 t0:0.0672503631325 x0:2.08156745084e-05 x1:0.138993650436 
SN137: c:0.0692213093969 t0:0.0496434158529 x0:1.17060109451e-05 x1:0.136969430556 
SN138: c:0.0247413348633 t0:0.107350225357 x0:0.000358751184874 x1:0.0358133161789 
SN139: c:0.0410577676962 t0:0.0551463466532 x0:5.55013939104e-05 x1:0.112367632247 
SN140: c:0.064349748373 t0:0.0635648988849 x0:1.77238016545e-05 x1:0.116536954835 
SN141: c:0.0528502750059 t0:0.0547497694464 x0:0.00476902091429 x1:0.0578334787976 
SN142: c:0.0352336297544 t0:0.05310403331 x0:3.64101151584e-05 x1:0.109285074622 
SN143: c:0.0303669604555 t0:0.0448957047048 x0:3.42895913528e-05 x1:0.106874424085 
SN144: c:0.0743226425831 t0:0.159281742237 x0:7.3144336331e-05 x1:0.38381617784 
SN145: c:0.0449847877502 t0:0.117927861518 x0:5.28841626552e-05 x1:0.0611312832233 
SN146: c:0.0486391578761 t0:0.039303895502 x0:3.66619312319e-05 x1:0.0390586830517 
SN147: c:0 t0:0 x0:0 x1:0
SN148: c:0.051470253196 t0:0.0496211197516 x0:3.70766491646e-05 x1:0.07793719476 
SN149: c:0.0569848864093 t0:0.0559019962403 x0:1.22849176694e-05 x1:0.0508629207038 
SN150: c:0.0400291980685 t0:0.0254602749023 x0:1.02862091212e-05 x1:0.0403937830623 
SN151: c:0 t0:0 x0:0 x1:0
SN152: c:0.0377647026566 t0:0.0355582383143 x0:4.37430191364e-05 x1:0.0326911316358 
SN153: c:0.0502213708163 t0:0.0624701220373 x0:0.000223632253968 x1:0.135852621101 
SN154: c:0.0490465814802 t0:0.053709114799 x0:7.2744709741e-05 x1:0.0927459556597 
SN155: c:0.039265496283 t0:0.0529588752035 x0:3.07189573891e-05 x1:0.0995071063171 
SN156: c:0.0365622388086 t0:0.0269185552278 x0:2.45352977991e-05 x1:0.0293565951444 
SN157: c:0.043050816978 t0:0.0961087968946 x0:1.9901248189e-05 x1:0.103151177493 
SN158: c:0.0731188163838 t0:0.0672920809949 x0:4.34361880616e-05 x1:0.108657340473 
SN159: c:0.0708625728201 t0:0.0623149210848 x0:1.4656230759e-05 x1:0.0990310181972 
SN160: c:0.0710407192872 t0:0.0619902463528 x0:1.05279581946e-05 x1:0.141731730268 
SN161: c:0.0028382193038 t0:0.00306111571328 x0:0.000576031881464 x1:0.00223898385469 
SN162: c:0.0403033056953 t0:0.0509065330339 x0:5.51588276792e-05 x1:0.0944310775163 
SN163: c:0.0532199556532 t0:0.0491515684231 x0:4.11039936483e-05 x1:0.0760784756036 
SN164: c:0.41948216412 t0:0.330111879928 x0:19254.2194015 x1:0.122221824932 
SN165: c:0.0132311504668 t0:0.0181053520802 x0:0.000314751972752 x1:0.0326726258278 
SN166: c:0.0630358198106 t0:0.0622020924606 x0:1.69693140009e-05 x1:0.106526719355 
SN167: c:0.0782559658557 t0:0.0765079089701 x0:1.25617393586e-05 x1:0.153259081145 
SN168: c:0.0547910676294 t0:0.0627568854686 x0:4.65623237438e-05 x1:0.0836036408324 
SN169: c:0.0509480101842 t0:0.0438880475873 x0:3.86778645082e-05 x1:0.0452916796551 
SN170: c:0.262643004409 t0:0.0188330036306 x0:1.58525201247e-05 x1:0.0412913410249 
SN171: c:0.0521650048522 t0:0.0641252988901 x0:1.22045373486e-05 x1:0.161875627841 
SN172: c:0.0162012632789 t0:0.021210602211 x0:1.08432134962e-05 x1:0.018488011872 
SN173: c:0.0386103455727 t0:0.0345807454175 x0:6.07933891076e-05 x1:0.0299714868804 
SN174: c:0.00770339320502 t0:0.00805143066269 x0:0.000364897885963 x1:0.00678118078592 
SN175: c:0 t0:0 x0:0 x1:0
SN176: c:0.0121857531159 t0:0.0175049433674 x0:0.00181219698883 x1:0.048425383256 
SN177: c:0.0546153824936 t0:0.0690726946739 x0:5.12369100347e-06 x1:0.222939398669 
SN178: c:0 t0:0 x0:0 x1:0
SN179: c:0.0684752721586 t0:0.0697045812811 x0:1.29115630925e-05 x1:0.136957327339 
SN180: c:0.0543880204527 t0:0.0638334296527 x0:2.82581783419e-05 x1:0.106615150602 
SN181: c:0 t0:0 x0:0 x1:0
SN182: c:1.05017919916 t0:0.650762052651 x0:3.46400960889e-05 x1:0.250052004579 
SN183: c:0.0179529066529 t0:0.0124590448824 x0:2.77147309585e-05 x1:0.0152142013792 
SN184: c:0.00157208100309 t0:0.00125598551101 x0:0.0243828549276 x1:0.00107982615179 
SN185: c:0.0669939422596 t0:0.064215992203 x0:1.47272401414e-05 x1:0.119589890686 
SN186: c:0.0342518857757 t0:0.0449651417509 x0:7.44703694492e-05 x1:0.0914229050355 
SN187: c:0.0496542668117 t0:0.0509816068568 x0:3.98934310155e-05 x1:0.0637114809445 
SN188: c:0.038151529543 t0:0.0398536702892 x0:6.43466617427e-05 x1:0.0336609100424 
SN189: c:0.0330167922887 t0:0.0317793369933 x0:8.4096281825e-05 x1:0.0555231444938 
SN190: c:0.0632997398452 t0:0.0594801747523 x0:9.76173185625e-06 x1:0.0641956167657 
SN191: c:0.0841760611001 t0:0.116449188217 x0:5.07905636949e-05 x1:0.25918062917 
SN192: c:0.0246351756899 t0:0.0350694158086 x0:4.16715553832e-05 x1:0.0937315847005 
SN193: c:0.0173862336955 t0:0.0158822368992 x0:5.78386393503e-05 x1:0.0165709489425 
SN194: c:0 t0:0 x0:0 x1:0
SN195: c:0.00873296156266 t0:0.00913054413823 x0:0.000229035472113 x1:0.00664868685005 
SN196: c:0.0686111191118 t0:0.0645575142508 x0:1.00783230483e-05 x1:0.151933960902 
SN197: c:0.0342920583056 t0:0.026446523063 x0:2.02639413906e-05 x1:0.0356086888795 
