K2_Time,Counts,Raw,Sky,Error
double,double,double,double,float
3272.175425,5030.05689,4990.135667,14953.87109,19.764444
3272.195858,5024.246899,4978.731141,14943.43066,19.757544
3272.216292,0,0,14934.98438,19.751959
3272.236726,5031.332377,5043.941044,14926.53516,19.74637
3272.257159,5017.930487,5028.49205,14914.99609,19.738737
3272.277593,5022.009791,5031.186485,14909.84766,19.735331
3272.298026,5041.871876,5049.975373,14921.30664,19.742912
3272.31846,5012.306985,5022.197761,14916.31445,19.739609
3272.338894,4997.076871,5006.293292,14889.02637,19.721546
3272.359327,5011.242663,5018.718274,14876.51172,19.713255
3272.379761,5037.096924,5043.712086,14878.93945,19.714863
3272.400194,5047.762162,5053.405961,14875.82129,19.712797
3272.420628,4976.774002,4983.398583,14858.54102,19.701344
3272.441062,5033.878142,5034.140796,14876.68262,19.713369
3272.461495,5004.142695,5004.367658,14853.96094,19.698309
3272.481929,5035.069687,5029.505676,14863.91699,19.704908
3272.502362,5033.021883,5025.642728,14851.97852,19.696995
3272.522796,5023.833214,5016.893808,14844.10938,19.691774
3272.54323,5043.444618,5031.862106,14831.44531,19.683374
