time flux flux_err zp zpsys filter
-2451564.604774 598.4082609999996 26.142756141206473 25.47 ab kst
-2451564.584341 579.8576299999995 25.429852724862048 25.47 ab kst
-2451564.563907 582.617663 25.535490158171445 25.47 ab kst
-2451564.543473 584.4143759999997 25.603217166032255 25.47 ab kst
-2451564.52304 563.7803729999996 24.78833740126231 25.47 ab kst
-2451564.502606 560.893384 24.680317737827096 25.47 ab kst
-2451564.482173 568.8292060000003 24.99210039243119 25.47 ab kst
-2451564.441305 647.1522020000002 27.944275863981098 25.47 ab kst
-2451564.420872 653.7632130000002 28.206967145662347 25.47 ab kst
-2451564.400438 628.0044020000005 27.221453079003496 25.47 ab kst
-2451564.380004 611.4142499999998 26.57682568549258 25.47 ab kst
-2451564.359571 624.0300770000003 27.061111985053127 25.47 ab kst
-2451564.339137 626.4853909999993 27.149076656624384 25.47 ab kst
-2451564.318704 598.6083560000006 26.083537270403276 25.47 ab kst
-2451564.29827 581.6073500000002 25.41591433998069 25.47 ab kst
-2451564.277837 604.6279509999995 26.3058501278502 25.47 ab kst
-2451564.257403 595.819555 25.95439343337982 25.47 ab kst
-2451564.236969 591.6922840000007 25.787931176597002 25.47 ab kst
-2451564.196102 614.1233630000006 26.63028211172061 25.47 ab kst
-2451564.175669 595.1228110000002 25.897697821004876 25.47 ab kst
-2451564.155235 609.8103259999998 26.453394577463097 25.47 ab kst
-2451564.134801 610.0701600000002 26.447747044391853 25.47 ab kst
-2451564.114368 620.7332880000004 26.855793325596807 25.47 ab kst
-2451564.093934 609.5129590000006 26.42064146621877 25.47 ab kst
-2451564.0735 592.299943 25.753124087269 25.47 ab kst
-2451564.053067 622.6439909999999 26.917367654617188 25.47 ab kst
-2451564.032633 631.9875240000001 27.264429407715724 25.47 ab kst
-2451564.0122 619.8434229999993 26.795044621351447 25.47 ab kst
-2451563.991766 629.1135909999994 27.142122581868183 25.47 ab kst
-2451563.971332 595.1754310000006 25.832568005640898 25.47 ab kst
-2451563.950899 628.5514249999997 27.103543140024012 25.47 ab kst
-2451563.930465 617.3030659999995 26.677342608062258 25.47 ab kst
-2451563.910032 631.0391520000003 27.186336429950888 25.47 ab kst
-2451563.889598 600.7171509999998 26.025646553267197 25.47 ab kst
-2451563.869164 582.2229340000004 25.311043522602393 25.47 ab kst
-2451563.848731 606.1008469999997 26.226145367813213 25.47 ab kst
-2451563.828297 602.7814170000001 26.090757738045603 25.47 ab kst
-2451563.807864 619.2942229999999 26.700309968079853 25.47 ab kst
-2451563.78743 589.3167370000001 25.572184356482396 25.47 ab kst
-2451563.766996 591.6651819999997 25.65984105617508 25.47 ab kst
-2451563.746563 593.7085229999993 25.732566721982483 25.47 ab kst
-2451563.705696 632.9427750000004 27.1960733665347 25.47 ab kst
-2451563.685262 645.2870229999999 27.650679458854064 25.47 ab kst
-2451563.664828 638.8027920000004 27.409790833991327 25.47 ab kst
-2451563.644395 626.2946590000001 26.940219860216242 25.47 ab kst
-2451563.623961 622.3335770000003 26.76912584916881 25.47 ab kst
-2451563.603528 632.3116680000003 27.140396579225058 25.47 ab kst
-2451563.583094 624.1542220000001 26.82963832675188 25.47 ab kst
-2451563.56266 607.118555 26.18506226752821 25.47 ab kst
-2451563.542227 586.5018540000001 25.39675948976496 25.47 ab kst
-2451563.521793 621.1930659999998 26.701828174260495 25.47 ab kst
-2451563.50136 622.4524890000002 26.7445799743242 25.47 ab kst
-2451563.480926 588.8505990000003 25.470129568926236 25.47 ab kst
-2451563.460492 596.5520390000001 25.769499779504724 25.47 ab kst
-2451563.440059 580.4125920000006 25.138940771114008 25.47 ab kst
-2451563.419625 566.5784450000001 24.601048840176293 25.47 ab kst
-2451563.399191 554.860165 24.154489909762255 25.47 ab kst
-2451563.378758 571.1374479999995 24.781684768781474 25.47 ab kst
-2451563.358324 541.2154049999999 23.622511452381286 25.47 ab kst
-2451563.337891 522.4328130000004 22.88957398188675 25.47 ab kst
-2451563.317457 528.80033 23.131090320930202 25.47 ab kst
-2451563.297023 532.9298869999993 23.288511562179643 25.47 ab kst
-2451563.27659 523.6830469999995 22.92736033216363 25.47 ab kst
-2451563.256156 512.0056380000005 22.47360337163694 25.47 ab kst
-2451563.215289 633.6819700000005 27.08157270238727 25.47 ab kst
-2451563.194855 615.7640369999999 26.412489440794886 25.47 ab kst
-2451563.174422 608.9515329999995 26.154672044661233 25.47 ab kst
