LC of   211559048,,,,,
K2_Time,Counts,Raw,RB,Sky,Error
3266.637936,4557.762199,4764.914516,6.459805,37238.30469,213.473756
3266.658369,4608.019854,4818.498502,5.882115,37229.98047,213.580816
3266.678803,4636.013712,4849.261926,5.64839,37195.36719,213.56392
3266.699237,4614.319589,4827.088235,5.198681,37190.89063,213.497104
3266.71967,4608.839882,4822.287534,5.017556,37177.125,213.447956
3266.740104,4618.624328,4831.519672,4.686834,37175.62109,213.469104
3266.760537,4618.050762,4827.742221,4.411535,37168.28906,213.448914
3266.780971,4562.215048,4766.445414,6.443731,37129.60156,213.20736
3266.801405,0,0,0,37080.60938,0
3266.821838,4605.466079,4807.685249,6.093747,37071.73438,213.169984
3266.842272,4597.837362,4798.659133,6.05792,37032.63281,213.050443
3266.862705,4602.399488,4799.36194,5.418787,37033.73438,213.064935
3266.883139,4590.302337,4781.178437,6.3728,37032.875,213.031781
3266.903573,4605.934881,4792.14929,5.482225,36999.79688,212.987132
3266.924006,4593.368941,4775.088693,6.688664,36959.61719,212.852082
3266.94444,4595.340564,4769.737466,5.939414,36978.77344,212.906188
3266.964873,4583.83497,4752.901441,6.473696,36939.80078,212.776896
3266.985307,4605.450388,4758.325011,6.001736,36926.09375,212.797157
3267.005741,4624.167566,4770.153126,5.007672,36931.60938,212.85923
3267.026174,4617.480917,4754.608259,5.765101,36950.89844,212.891504
3267.046608,4623.920959,4752.152675,6.376851,37018.30078,213.080511
3267.067041,0,0,0,36906.13281,0
3267.087475,4605.785871,4819.908077,5.410537,37006.96875,213.005107
3267.107909,4618.768606,4830.233144,4.648619,36975.21875,212.957069
3267.128342,4599.379408,4811.304303,5.612121,36981.17188,212.92267
3267.148776,4600.366333,4810.371564,5.306962,36847.75781,212.583338
3267.16921,4590.629889,4797.227751,6.211456,36795.40625,212.424057
3267.189643,4617.756302,4824.920286,5.666103,36778.04688,212.449121
3267.210077,4607.660213,4812.915426,5.572617,36797.66406,212.473552
3267.23051,4612.305044,4814.527612,5.498497,36727.34375,212.304976
3267.250944,4614.747412,4811.390853,5.03846,36747.34375,212.362596
3267.271377,4598.491283,4788.140413,5.680457,36724.91406,212.263262
3267.291811,4605.111444,4788.148343,5.409925,36692.98047,212.198239
3267.312245,0,0,0,36682.24609,0
3267.332678,4610.110303,4822.379235,4.711727,36667.94141,212.146748
3267.353112,4601.149333,4812.595501,5.237779,36648.07813,212.072664
3267.373546,4588.625674,4801.190985,5.0528,36613.16016,211.950674
3267.393979,4607.597682,4823.442588,5.038923,36611.46484,211.995107
3267.414413,4592.149071,4804.78184,5.824875,36591.54688,211.90414
3267.434846,4612.34871,4817.035186,5.098221,36568.96875,211.898021
3267.45528,4598.764793,4808.86373,5.829278,36538.54297,211.784765
3267.475714,4610.178046,4818.162512,4.783128,36542.13281,211.823381
3267.496147,4612.738544,4811.148375,5.793963,36480.50391,211.671305
3267.516581,4618.538825,4822.819871,4.947609,36501.26953,211.739715
3267.537014,4608.256832,4807.075665,5.578717,36471.55859,211.636721
3267.557448,4584.320686,4776.407992,5.505643,36459.08594,211.542914
3267.577882,4634.0503,4819.386211,5.306117,36398.85156,211.515841
3267.598315,4623.77012,4802.378708,5.155966,36405.76953,211.507175
3267.618749,4620.320743,4785.927567,5.362445,36392.92969,211.465186
3267.639182,4624.309125,4781.403357,5.566121,36371.65625,211.42062
3267.659616,4569.715223,4725.870816,6.648364,36352.99219,211.231636
3267.68005,4610.748914,4753.234462,5.536001,36352.10547,211.335224
3267.700483,4632.311535,4764.77312,5.750424,36357.76172,211.405426
3267.720917,4637.19962,4756.931724,4.649767,36347.14453,211.390652
3267.74135,4618.769106,4730.70296,6.087514,36285.19531,211.183257
3267.761784,4623.384304,4726.978093,6.306088,36262.65625,211.136982
3267.782218,4640.435747,4735.654541,5.095094,36259.63281,211.1732
3267.802651,0,0,0,36252.20703,0
3267.823085,4589.871251,4800.303739,6.637627,36197.32813,210.881618
3267.843518,4597.020325,4804.941926,5.245353,36211.01563,210.935477
3267.863952,4591.064965,4797.899751,5.890435,36166.33594,210.804571
3267.884386,4612.951082,4817.665365,5.109463,36168.76172,210.867434
3267.904819,4599.69672,4801.202812,5.194706,36155.40234,210.798618
3267.925253,4598.336269,4795.008215,5.896486,36131.93359,210.734396
3267.945686,4612.655497,4804.888688,5.168293,36118.09375,210.735636
3267.96612,4603.684878,4782.95766,6.036531,36091.15625,210.642724
3267.986554,4629.094488,4806.215318,5.439926,36071.79688,210.658381
3268.006987,4606.701624,4769.269205,5.676453,36074.53125,210.607501
3268.027421,4587.740718,4739.682536,6.660697,36058,210.51561
3268.047854,0,0,0,36039.67188,0
3268.068288,4594.818952,4806.379693,5.610036,36029.16016,210.459247
3268.088722,4630.572446,4842.717756,4.985042,35978.45313,210.420509
3268.109155,4615.606449,4820.83037,5.249705,35971.16406,210.362843
3268.129589,4597.353727,4798.086288,5.080447,35989.88672,210.36406
3268.150023,4617.020136,4815.291718,5.760522,35933.26172,210.26826
3268.170456,4596.560477,4787.657548,5.842914,35907.58984,210.148622
3268.19089,4613.314361,4795.319578,5.304332,35924.78516,210.236673
3268.211323,4615.148094,4793.837042,5.870291,35864.48438,210.085009
3268.231757,4624.12898,4786.979079,5.961982,35837.20313,210.037515
3268.252191,4610.962858,4764.216089,6.410222,35806.71094,209.924168
3268.272624,4608.841603,4751.895548,6.280951,35795.42188,209.889339
3268.293058,0,0,0,35788.12891,0
3268.313491,4608.529566,4793.486243,5.924872,35780.83984,209.85065
3268.333925,4601.02116,4785.257737,6.126656,35765.64453,209.791661
3268.354359,4622.972305,4806.64935,6.036067,35752.69141,209.815042
3268.374792,4626.773605,4803.556719,5.558137,35723.9375,209.750198
3268.395226,4622.668779,4798.408261,6.354795,35681.35547,209.628819
3268.415659,4614.867268,4779.85763,5.863709,35686.64063,209.622275
3268.436093,4626.317035,4782.617663,6.517649,35673.10938,209.616862
3268.456527,4632.693194,4784.414376,5.877395,35662.32031,209.605385
3268.47696,4616.499615,4763.780373,6.252087,35620.42578,209.45425
3268.497394,4621.383551,4760.893384,5.647557,35628.46094,209.487872
3268.517827,4635.275315,4768.829206,5.230733,35628.24219,209.523451
3268.538261,0,0,0,35613.60547,0
3268.558695,4632.22848,4847.152202,5.612709,35546.16797,209.301858
3268.579128,4639.297191,4853.763213,4.494487,35583.79297,209.418237
3268.599562,4615.339635,4828.004402,4.857855,35552.54688,209.274481
3268.619996,4599.568987,4811.41425,5.342578,35517.30078,209.14154
3268.640429,4616.737975,4824.030077,5.438585,35520.42578,209.194433
3268.660863,4618.824667,4826.485391,5.00853,35504.47656,209.158304
3268.681296,4595.353925,4798.608356,5.736917,35502.80859,209.092771
3268.70173,4582.924992,4781.60735,5.933016,35461.85938,208.953554
3268.722163,4612.161438,4804.627951,5.126428,35464.74609,209.037347
3268.742597,4606.063101,4795.819555,5.432351,35421.98047,208.909873
3268.763031,4610.281966,4791.692284,6.448008,35390.22266,208.837996
3268.783464,0,0,0,35352.25,0
3268.803898,4618.691322,4814.123363,5.548359,35350.11328,208.755229
3268.824331,4595.974623,4795.122811,5.887737,35339.14844,208.667252
3268.844765,4607.734828,4809.810326,5.840058,35320.08594,208.648173
3268.865199,4604.577582,4810.07016,5.93198,35276.51563,208.526047
3268.885632,4613.047253,4820.733288,5.128871,35283.79688,208.567221
3268.906066,4599.382129,4809.512959,5.833971,35263.57031,208.478615
3268.9265,4578.425293,4792.299943,6.041954,35242.45703,208.368575
3268.946933,4605.332444,4822.643991,5.879867,35260.64453,208.486524
3268.967367,4613.967227,4831.987524,4.884513,35240.21094,208.45567
3268.9878,4603.744446,4819.843423,4.934558,35212.22266,208.355715
3269.008234,4612.796925,4829.113591,5.095233,35198.90625,208.344558
3269.028668,4580.368981,4795.175431,6.504685,35147.98828,208.126359
3269.049101,4614.44726,4828.551425,5.26354,35145.94531,208.210254
3269.069535,4603.77349,4817.303066,5.490129,35146.73047,208.184361
3269.089968,4619.567311,4831.039152,5.612313,35110.22656,208.130122
3269.110402,4594.107772,4800.717151,5.98031,35081.32422,207.987682
3269.130836,4581.410111,4782.222934,6.818193,35059.85938,207.898119
3269.151269,4606.373987,4806.100847,5.554,35058.98047,207.961266
3269.171703,4607.116853,4802.781417,5.522973,35028.51172,207.883327
3269.192136,4628.29229,4819.294223,5.707168,34967.75781,207.779509
3269.21257,4602.867354,4789.316737,5.386647,35009.57813,207.822522
3269.233004,4613.84877,4791.665182,5.983628,34993.45313,207.809029
3269.253437,4622.547111,4793.708523,5.754952,34969.625,207.769334
3269.273871,0,0,0,34949.53906,0
3269.294304,4614.971563,4832.942775,5.226737,34935.64453,207.660268
3269.314738,4629.189588,4845.287023,5.221629,34906.67188,207.621529
3269.335172,4624.164347,4838.802792,5.310439,34912.50781,207.623658
3269.355605,4616.257342,4826.294659,5.181009,34913.02734,207.60426
3269.376039,4614.918899,4822.333577,5.639528,34847.42188,207.428394
3269.396472,4626.585555,4832.311668,5.651655,34830.61719,207.41489
3269.416906,4621.600377,4824.154222,5.572429,34818.19141,207.369122
3269.43734,4608.277787,4807.118555,6.011009,34817.14063,207.331332
3269.457773,4591.952056,4786.501854,6.107492,34808.45703,207.265562
3269.478207,4631.673567,4821.193066,6.20946,34758.17188,207.237775
3269.49864,4638.213993,4822.452489,5.319306,34738.68359,207.203712
3269.519074,4612.652456,4788.850599,6.095472,34738.82813,207.136828
3269.539508,4629.727827,4796.552039,5.307355,34745.22656,207.198599
3269.559941,4622.980022,4780.412592,5.983323,34695.57031,207.050141
3269.580375,4621.068274,4766.578445,6.661041,34665.76953,206.966626
3269.600809,4621.800066,4754.860165,6.555358,34674.40234,206.991291
3269.621242,4647.949089,4771.137448,5.98896,34659.12109,207.019912
3269.641676,4629.752569,4741.215405,6.682396,34647.1875,206.940553
3269.662109,4620.959271,4722.432813,6.403643,34642.85938,206.905984
3269.682543,4635.572123,4728.80033,6.190157,34606.97266,206.849923
3269.702977,4633.782566,4732.929887,5.893289,34599.07031,206.824378
3269.72341,4648.255621,4723.683047,5.956851,34578.19531,206.807503
3269.743844,4645.745454,4712.005638,5.680543,34587.47656,206.825351
3269.764277,0,0,0,34527.78906,0
3269.784711,4629.585748,4833.68197,5.719968,34509.22656,206.576352
3269.805145,4615.418808,4815.764037,5.487108,34519.71875,206.566654
3269.825578,4612.66901,4808.951533,5.826776,34514.67188,206.546077
3269.846012,4596.605924,4785.719283,6.821972,34467.60938,206.379395
3269.866445,4635.233191,4818.785488,6.096808,34419.02344,206.353087
3269.886879,4612.878532,4784.35259,6.612325,34419.78125,206.296023
3269.907313,4616.314431,4775.023287,6.775592,34432.40625,206.338461
3269.927746,4628.326236,4777.482733,7.008627,34363.97656,206.189348
3269.94818,4639.375154,4776.335063,6.161611,34385.74219,206.27609
3269.968613,4625.028088,4752.479216,6.812331,34364.57813,206.182218
3269.989047,4689.227203,4803.818053,6.039337,34359.32813,206.338025
3270.009481,0,0,0,34339.53906,0
3270.029914,4629.018988,4808.36415,6.069881,34314.24609,206.059653
3270.050348,4643.928012,4831.893972,5.511806,34286.07031,206.024551
3270.070781,4618.151485,4809.370302,6.257834,34276.625,205.931329
3270.091215,4671.015976,4867.962162,5.015653,34281.01172,206.082834
3270.111649,4610.33291,4825.330523,6.482037,34226.89844,205.778934
3270.132082,4623.785951,4842.390219,5.178529,34238.35547,205.844917
3270.152516,4624.22924,4841.042716,5.22656,34219.00391,205.794834
3270.172949,4633.912874,4852.639608,5.058333,34211.9375,205.801767
3270.193383,4614.246753,4829.681233,5.270956,34192.76563,205.698861
3270.213817,4670.602952,4882.591285,4.633971,34178.5,205.810383
3270.23425,4607.957891,4815.7847,6.054657,34164.32031,205.606785
3270.254684,0,0,0,34137.67578,0
3270.275117,0,0,0,34111.01953,0
3270.295551,4610.367212,4828.516921,5.748644,34113.20703,205.477608
3270.315985,4620.451693,4839.925339,5.612692,34076.72266,205.407553
3270.336418,4617.614361,4835.973215,6.384197,34061.61719,205.359927
3270.356852,4630.898378,4845.685479,5.698583,34041.65625,205.342201
3270.377286,4636.522142,4850.302221,5.368605,34019.20703,205.297527
3270.397719,4656.409756,4869.583888,5.165567,34018,205.347126
3270.418153,4643.298544,4853.083023,5.25231,33983.61719,205.221
3270.438586,4648.138663,4857.197119,4.736381,34001.125,205.280357
3270.45902,4642.485182,4849.824811,5.90567,33952.17969,205.135309
3270.479454,4631.388483,4830.272779,5.941175,33932.64063,205.053876
3270.499887,4638.520356,4834.240032,6.075549,33924.23828,205.050499
3270.520321,4622.768146,4812.890111,6.451324,33902.34375,204.950384
3270.540754,4615.28337,4797.16561,5.988838,33918.89844,204.974509
3270.561188,4636.956542,4810.185523,6.505199,33862.25391,204.881476
3270.581622,4662.263522,4826.095673,5.782205,33846.59766,204.907154
3270.602055,4652.811227,4808.150884,5.980226,33839.45313,204.862993
3270.622489,4650.754,4796.726287,5.644922,33829.04688,204.829824
3270.642922,4625.08197,4761.216846,6.93445,33812.27344,204.716823
3270.663356,4673.370254,4801.148732,6.665716,33771.86719,204.737811
3270.68379,4654.723832,4771.198966,6.425015,33763.10547,204.664818
3270.704223,4653.040243,4763.120565,6.790551,33741.75391,204.603451
3270.724657,4644.238187,4749.344257,6.385458,33756.94922,204.620485
3270.74509,0,0,0,33749.27344,0
3270.765524,4627.727532,4844.639787,5.146655,33715.80078,204.466809
3270.785958,4627.404596,4841.127146,5.619188,33716.58984,204.468052
3270.806391,4638.855482,4848.785232,6.138331,33644.03906,204.30508
3270.826825,4640.214016,4845.718814,6.300217,33624.94141,204.257741
3270.847258,4638.354413,4839.003512,5.443496,33629.66797,204.265392
3270.867692,4640.249727,4835.303624,6.24303,33623.14453,204.25304
3270.888126,4623.997954,4813.658293,6.391668,33581.02344,204.097181
3270.908559,0,0,0,33576.53125,0
3270.928993,4659.83507,4833.250262,6.23947,33539.95313,204.083202
3270.949426,4637.440272,4806.240413,6.850558,33535.83203,204.012359
3270.96986,4624.825317,4781.421141,7.397239,33505.48047,203.897512
3270.990294,0,0,0,33522.04688,0
3271.010727,4601.27586,4821.239118,6.251245,33481.6875,203.770894
3271.031161,4612.786582,4835.74776,6.036145,33470.14453,203.770807
3271.051594,4622.54509,4844.260111,5.721211,33480.85938,203.825574
3271.072028,4637.587683,4859.836308,5.238628,33457.17578,203.802461
3271.092462,4642.755407,4862.837276,5.451006,33441.3125,203.773849
3271.112895,4644.814458,4862.560476,6.449568,33370.00391,203.5885
3271.133329,4635.432409,4851.465511,5.965011,33401.70703,203.648262
3271.153763,4642.829234,4855.195721,5.702083,33374.35156,203.594826
