SN133: c:-0.033483181067412215 mwebv:0.10809391199612534 t0:58870.27927654883 x0:0.0003806320349684333 x1:-0.5868245820029636 z:0.1170424233500971 
SN134: c:-0.007956701936013258 mwebv:0.08563806474374164 t0:58683.08666024176 x0:0.0002447079939676826 x1:-0.4285985317065153 z:0.12450653431673395 
SN135: c:-0.006281792446488977 mwebv:0.47275021393363753 t0:58616.908439102255 x0:0.00024506249895356086 x1:0.4022592764698201 z:0.13211413869524866 
SN136: c:-1.16430548760231 mwebv:3.3264942141100935 t0:58837.42557284514 x0:0.0004492682137187211 x1:-0.34745987328871897 z:0.14141846579715892 
SN137: c:-0.0010986472805533819 mwebv:0.22515209376808998 t0:58665.673697879865 x0:0.000430297285873581 x1:1.085276550678268 z:0.10357147616362025 
SN138: c:0.05299460760299501 mwebv:0.0137154455313611 t0:58950.623332797586 x0:0.00025991822858544624 x1:0.7571022177972082 z:0.12754180827534997 
SN139: c:0.018680896720900505 mwebv:1.1741815998756913 t0:58749.61737434386 x0:0.00013526983542845177 x1:0.7766306910975485 z:0.14431688890747393 
SN140: c:-0.01654651783983388 mwebv:0.042337308354376206 t0:58880.375614951394 x0:0.0012533562097464526 x1:0.5678188702814487 z:0.07656452055041893 
SN141: c:-0.03199806444231079 mwebv:0.3903091865765728 t0:58718.40424541061 x0:0.0001894315948714742 x1:-0.8006426809419542 z:0.12809248692198266 
SN142: c:-0.08579253137650425 mwebv:0.11531550384924863 t0:58793.99608150802 x0:0.007501402264111261 x1:-1.6204611962288626 z:0.02704565812440213 
SN143: c:-0.04924911479419828 mwebv:0.10658843469919409 t0:58868.05302120598 x0:0.00010155202557699731 x1:-0.05390547068056584 z:0.14613306828336323 
SN144: c:-0.006699493703629669 mwebv:0.17044425801542346 t0:58889.85403138417 x0:0.00020835655220133865 x1:-0.23303303820979082 z:0.1446321490601045 
SN145: c:-0.011577733130543357 mwebv:0.14803880607239744 t0:58897.66233189919 x0:0.0001914582898211184 x1:0.6417379502483909 z:0.12269253456864473 
SN146: c:-0.05093804832737109 mwebv:0.03192306858925972 t0:58812.27712807059 x0:0.00019484442273532389 x1:0.6429577593739239 z:0.12715717827716055 
SN147: c:0.12283173596602803 mwebv:0.09857537900810934 t0:58883.61426970846 x0:0.00019960329667336393 x1:1.0142313571134005 z:0.14419693168220837 
