SN129: c:0.08420249754027531 t0:1.877096731786058 x0:6.116982132389165e-05 x1:0.6482152892198801 
SN130: c:0.07237178566788603 t0:20.838136431399374 x0:0.00027401602286032293 x1:0.7393914322599485 
SN131: c:0.017776365865744034 t0:0.28796411508929515 x0:2.7801067643486085e-05 x1:0.3031423894187006 
SN132: c:0.024290812504086292 t0:0.7322796354367168 x0:5.517619191219187e-05 x1:0.2229627368631794 
SN133: c:0.042727935305819364 t0:1.6405273989849418 x0:0.000119270180607444 x1:0.4561967005735307 
SN134: c:0.05359765061254641 t0:6.694209975458315 x0:0.00010263733295722723 x1:0.6443887644764966 
SN135: c:0.06555612169530738 t0:1.4213357003911062 x0:4.776291451860032e-05 x1:0.6311620036437655 
SN136: c:0.06944026362388295 t0:2.423849023631752 x0:8.440530698937831e-05 x1:0.6968946744942991 
SN137: c:0.01956158492470014 t0:0.9997350244780678 x0:2.566649877110959e-05 x1:0.42234317954467965 
SN138: c:0.05490096254361962 t0:3.965522343686083 x0:4.8009790759799025e-05 x1:0.7574924477560965 
SN139: c:0 t0:0 x0:0 x1:0 
SN140: c:0.07871354637686181 t0:2.2456688879959525 x0:3.3769797582205348 x1:0.7086419735461185 
SN141: c:0.03818182690196971 t0:0.7537291275923319 x0:1.0102603910370741e-05 x1:0.5177869470517908 
SN142: c:0.033899411125595275 t0:1.550870079382344 x0:1.9092977748841146e-05 x1:0.5224028525891075 
SN143: c:0.041468858531964595 t0:1.1139129138593733 x0:3.595098678019399e-05 x1:0.7356107647343566 
SN144: c:0.0887343861827419 t0:1.5942300578236963 x0:5.080155875742815e-05 x1:0.46540373531579715 
SN145: c:0 t0:0 x0:0 x1:0 
SN146: c:0.04797128626478825 t0:0.8237447599594766 x0:1.8832890972820237e-05 x1:0.7021542823724377 
SN147: c:0.09675436476291592 t0:12.937682512580178 x0:7.300000534367617e-05 x1:0.8933519860919332 
SN148: c:0.05834998257307338 t0:1.527504249864316 x0:6.212378167704731e-05 x1:0.7127359456568014 
SN149: c:0.07034831310191986 t0:1.942881095821024 x0:4.188192526532609e-05 x1:0.5497179085245888 
SN150: c:0.08361015621309048 t0:9.152956220538886 x0:0.00018939337610284683 x1:0.6137344729777274 
