SN1: c:0.03736600315805755 t0:0.06325811861101868 x0:1.127239558209306e-05 x1:0.08551909244543214 
SN259: c:0.05611748636912528 t0:0.07035324967978875 x0:1.2463211856161767e-05 x1:0.14843532959022476 
SN260: c:0.03300063380512254 t0:0.05924979984655599 x0:4.956553562535275e-06 x1:0.10488027140625839 
SN261: c:0.24277102284068683 t0:0.15162766691589297 x0:6.96899156462542e-05 x1:0.29867069136816343 
SN262: c:0.033398332761159125 t0:0.05229782390558848 x0:1.1048431205934591e-05 x1:0.09200477555356336 
SN263: c:0.07535643123072665 t0:0.10673461145482305 x0:9.494875332599904e-06 x1:0.20720769321652135 
SN264: c:0.08728056163314422 t0:0.8321873378424476 x0:2.468297067514936e-05 x1:0.6180902998562834 
SN265: c:0.04459614176631949 t0:0.07265945845442814 x0:7.24552783060991e-06 x1:0.11440865868676882 
SN266: c:0.03108158000872637 t0:0.05234940168187753 x0:6.6513550523148485e-06 x1:0.0885667552861904 
SN267: c:0.03272110962954233 t0:0.057574124462975475 x0:8.909786236327556e-06 x1:0.09401266580292446 
SN268: c:0.04193862121136921 t0:0.06570693281847345 x0:6.623567103250522e-06 x1:0.12376166352926725 
SN269: c:0.06289170123958046 t0:0.07494786880492006 x0:1.5699403284308014e-05 x1:0.1307730101120487 
SN270: c:0.0471537393487918 t0:0.06377902903524588 x0:9.358656647428761e-06 x1:0.1161679504330069 
SN271: c:0.022657580392646207 t0:0.055493038751677146 x0:4.621142630157396e-06 x1:0.0835604476668749 
SN272: c:0.021357270138036802 t0:0.046663906244225554 x0:2.8385321355297e-05 x1:0.06037218450851743 
SN273: c:0.06193795450779469 t0:0.1521680293483897 x0:1.3071620537990442e-05 x1:0.15336033514372877 
SN274: c:0.06620102652189193 t0:0.0801427914307945 x0:9.674864560445547e-06 x1:0.18592297783937553 
SN275: c:0.07573796121858248 t0:0.09178289230418121 x0:1.0814808344731754e-05 x1:0.20029583319265576 
SN276: c:0.05076964138317466 t0:0.11520206900417791 x0:6.370063358822281e-06 x1:0.1609139701467841 
SN277: c:0.0220964240105413 t0:0.04508078495745541 x0:8.752043221038292e-06 x1:0.05477359320888003 
SN278: c:0.08143589985745059 t0:0.060959374881535904 x0:6.822125148360135e-05 x1:0.21668743362332915 
SN279: c:0.051560492109127096 t0:0.06431256970332641 x0:6.6604593021906e-06 x1:0.13648047576368058 
SN280: c:0.05715899805755779 t0:0.0644355737268832 x0:7.307399311581736e-06 x1:0.12563278217667975 
SN281: c:0.03316451408374981 t0:0.04001824009866736 x0:5.218919704567266e-06 x1:0.1045648111814259 
SN282: c:0.02117511747148288 t0:0.041280100372524796 x0:4.836070048991224e-06 x1:0.07654373440863091 
SN283: c:0.05540584185836616 t0:0.07017243046794418 x0:9.33373331374228e-06 x1:0.1373938372716204 
SN284: c:0.03333346933510631 t0:0.0513322180893184 x0:1.2622405830162795e-05 x1:0.07711842766446428 
SN285: c:0.024128610162114275 t0:0.05581991006715664 x0:1.7725859647000266e-05 x1:0.0711014000008673 
SN286: c:0.03145703561040836 t0:0.05727801140373935 x0:1.0889925311223851e-05 x1:0.08408086689306431 
SN287: c:0.06865045155367482 t0:0.3078118539176988 x0:2.5190384140647847e-05 x1:0.38324496668546126 
SN288: c:0.025473481873333533 t0:0.038345416888914165 x0:1.7648123170562967e-05 x1:0.05208628052293249 
SN289: c:0.021466128938831562 t0:0.03863928471308238 x0:2.809844643851061e-05 x1:0.04887278118642924 
SN290: c:0.037570007318089016 t0:0.05309395427311374 x0:1.9248548438696417e-05 x1:0.08013748259593918 
SN291: c:0.05426022000068274 t0:0.12090567694539948 x0:6.705078937462842e-06 x1:0.1686092194027693 
SN292: c:0.053669767644630606 t0:0.04957408673265138 x0:7.461787949501538e-06 x1:0.12705433689372472 
SN293: c:0.02728496604846422 t0:0.04572075294884925 x0:1.4463419516011075e-05 x1:0.07468933620404157 
SN294: c:0.037418503436209186 t0:0.0549084210315426 x0:1.4938252234903918e-05 x1:0.07266584137502725 
SN295: c:0.019416897424666152 t0:0.03587892501286553 x0:1.1088080166221735e-05 x1:0.06541467376012061 
SN296: c:0.05312438541676853 t0:0.05660723181679839 x0:6.346023610389264e-06 x1:0.15890565132991014 
SN297: c:0.05967943892659103 t0:0.06702856638830228 x0:1.4811083263178774e-05 x1:0.15007075715274018 
SN298: c:0.04384755623425878 t0:0.044144795937946485 x0:1.530720880570114e-05 x1:0.11599990019952909 
SN299: c:0.04113114546527605 t0:0.05512747748178159 x0:8.689901534932649e-06 x1:0.0793037446021423 
SN300: c:0.03132278708314487 t0:0.2684105703503274 x0:0.00010335069882248704 x1:1.666099235610206 
SN301: c:0.08014076325094989 t0:0.4756317036263907 x0:5.3579198680759734e-05 x1:0.6917203963063693 
SN302: c:0.04627455535007271 t0:0.06323838673362771 x0:4.699512082690177e-05 x1:0.1110166022730258 
SN303: c:0.01345363151645672 t0:0.02992994160244424 x0:1.367481756976215e-05 x1:0.04096368545559846 
SN304: c:0.0197983741576738 t0:0.038019088855610325 x0:1.8543309759841016e-05 x1:0.04517931556373976 
SN305: c:0.029067611998824548 t0:0.057796985975381056 x0:5.799851948210387e-06 x1:0.10793947230833514 
SN306: c:0.01822643939410964 t0:0.03242200090423538 x0:1.7964090557277608e-05 x1:0.04455437177174262 
SN307: c:0.04961804748304543 t0:0.059047579966550114 x0:5.051405504058612e-06 x1:0.12594424432374465 
SN308: c:0.05788522400872487 t0:0.06654162867300259 x0:3.934043910251068e-06 x1:0.16884479698476698 
SN309: c:0.04662822379682563 t0:0.04488873845074259 x0:2.6318487658617553e-05 x1:0.07340576587031782 
SN310: c:0.030025164461629835 t0:0.0647771186038723 x0:3.6838978715494665e-06 x1:0.061047794363540506 
SN311: c:0.03669124517170219 t0:0.05334630973400407 x0:3.151118546808628e-05 x1:0.06810626834461253 
SN312: c:0.03571449688355128 t0:0.05798485611309493 x0:6.568481657037047e-06 x1:0.09495383867056542 
SN313: c:0.04902345968200694 t0:0.06583906719887077 x0:5.303535198894734e-06 x1:0.13587658259259616 
SN314: c:0.0535402006325647 t0:0.07028172227621078 x0:6.616974030727281e-06 x1:0.139194030809729 
SN315: c:0.06077073222645203 t0:0.07382305452890023 x0:1.7328199491688408e-05 x1:0.1062242746025592 
SN316: c:0.06608799105439299 t0:0.0559547026146995 x0:8.811866943840329e-06 x1:0.10794804594541199 
SN317: c:0.04154602624520375 t0:0.055161540821739935 x0:1.675505690226232e-05 x1:0.06675075986022123 
SN318: c:0.02355289101837061 t0:0.05702870793522228 x0:9.309696580115726e-06 x1:0.07947906340137598 
SN319: c:0.03298209224403423 t0:0.047565235772199344 x0:1.5560303202452203e-05 x1:0.06204013665512546 
SN320: c:0.05600660001008815 t0:0.0647369959331517 x0:1.0214054583344869e-05 x1:0.12251597919569579 
SN321: c:0.031190552195978813 t0:0.04558276178337024 x0:9.073367897742116e-06 x1:0.09037515219810514 
SN322: c:0.06202935126455962 t0:0.05067174869256065 x0:2.4603961962178613e-05 x1:0.0956722418317858 
SN323: c:0.06784137058031961 t0:0.07537426061490324 x0:6.527284975944858e-06 x1:0.1312600592212854 
SN324: c:0.042734673613159045 t0:0.06359720502525369 x0:6.336140997562117e-06 x1:0.11444065434259987 
SN325: c:0.02390657182272958 t0:0.05558660725861894 x0:4.219279079140377e-06 x1:0.1202395612885149 
SN326: c:0.031193695217625474 t0:0.0490210815609718 x0:1.821206842525576e-05 x1:0.0675573451018538 
SN327: c:0.022849711227345616 t0:0.040606053660466726 x0:3.895007343680345e-05 x1:0.0504038997085124 
SN328: c:0.02866900327828049 t0:0.06645806298972777 x0:4.76494455404971e-06 x1:0.10235699935796527 
SN329: c:0.04604239773346682 t0:0.06970645748975682 x0:6.0088427237714285e-06 x1:0.12838061029373654 
SN330: c:0.05039750409695518 t0:0.05868321388118278 x0:9.686516833295084e-06 x1:0.11315702436678224 
SN331: c:0.038593210171560595 t0:0.0661215752297413 x0:5.926820645737115e-06 x1:0.11721037617676991 
SN332: c:0.020893513075911356 t0:0.04984058419449524 x0:1.3798831166215436e-05 x1:0.0734213676092495 
SN333: c:0.02270105215949978 t0:0.05312407286392007 x0:2.9480867760297804e-05 x1:0.06577024714581162 
SN334: c:0.04853207935695652 t0:0.06397147748673605 x0:1.2719510782140908e-05 x1:0.10750648225074895 
SN335: c:0.040776914491013116 t0:0.0636025088063185 x0:7.71344856362645e-06 x1:0.09614023168626414 
SN336: c:0.04516674507271468 t0:0.042709296655463136 x0:1.6098274543611553e-05 x1:0.08089758974241953 
SN337: c:0.042539176057174506 t0:0.06530611338525659 x0:9.034999830307558e-06 x1:0.1031845145387778 
SN338: c:0.04623949680568006 t0:0.06524815375067379 x0:6.961291085744765e-06 x1:0.11963927146301478 
SN339: c:0.029341448319835924 t0:0.11282075763108541 x0:3.3273498674645633e-06 x1:0.15244113410797688 
SN340: c:0.08817699666636179 t0:0.14224255869220603 x0:0.00013627325467847562 x1:0.253767494443938 
SN341: c:0.040842244179102045 t0:0.05878180245347626 x0:1.6996476518647008e-05 x1:0.10809515505265158 
SN342: c:0.0401591093496215 t0:0.048678458272845816 x0:1.0309393930757354e-05 x1:0.08234250665396446 
SN343: c:0.04254193108862083 t0:0.08145982129523885 x0:5.273670334572366e-06 x1:0.13487787124346967 
SN344: c:0.030142163174454943 t0:0.08975016829446544 x0:5.541870771098045e-06 x1:0.11185048611936911 
SN345: c:0.0723311192927898 t0:0.09192807930211896 x0:1.1858647263376664e-05 x1:0.27931047795698616 
SN346: c:0.05099497287684792 t0:0.09489382920047229 x0:1.314091265306116e-05 x1:0.11388161053745366 
SN347: c:0.03542912115446543 t0:0.04711644923582518 x0:1.747181412515059e-05 x1:0.06984335916756257 
SN348: c:0.037413415513002105 t0:0.0688607834744342 x0:7.262941978990579e-06 x1:0.13290074859733766 
SN349: c:0.04113679938757396 t0:0.06643753570141407 x0:1.735190433395449e-05 x1:0.12166048375768947 
SN350: c:0.009411691697589255 t0:0.020601953773908045 x0:3.590089014099192e-05 x1:0.031592446419210225 
SN351: c:0.0353729413354328 t0:0.06489932266639248 x0:6.450664919462375e-06 x1:0.10195190604378812 
SN352: c:0.030892334574657697 t0:0.044536340115247666 x0:2.6984207084042786e-05 x1:0.06351135509569837 
SN353: c:0.042053422013195715 t0:0.06506338148294057 x0:9.20615762550994e-06 x1:0.0841427014399022 
SN354: c:0.021511265644357715 t0:0.0509870593850119 x0:1.0782603391058226e-05 x1:0.06804916767717953 
SN355: c:0.05065525453152246 t0:0.05448975149374632 x0:1.346488109756758e-05 x1:0.09293297625719812 
SN356: c:0.02844424378661296 t0:0.0388281893056952 x0:2.113422167644511e-05 x1:0.05880863527690821 
SN357: c:0.03245837816412942 t0:0.0416181843525947 x0:6.960018952404582e-06 x1:0.08838172257056633 
SN358: c:0.043808769025525995 t0:0.0698892187777729 x0:5.707752360301756e-06 x1:0.136898949953042 
SN359: c:0.03784561705350242 t0:0.05231588932675571 x0:7.152270946338245e-06 x1:0.08839889228890985 
SN360: c:0.05919736797669053 t0:0.046379468723040274 x0:4.440456493685526e-05 x1:0.1075384905096741 
SN361: c:0.03388581005543235 t0:0.09289508947487822 x0:4.63211661572684e-06 x1:0.1385364933500609 
SN362: c:0.03611402550855255 t0:0.04303932850379642 x0:2.0218007536401975e-05 x1:0.06508527399129752 
SN363: c:0.014367842854713216 t0:0.029931255908073173 x0:3.983818675610464e-05 x1:0.03163175757827318 
SN364: c:0.04304058775624391 t0:0.060564788124128376 x0:7.207609592781386e-06 x1:0.11189682267829992 
SN365: c:0.051993180200354004 t0:0.0691809910645048 x0:8.225404813493672e-06 x1:0.1427122850453926 
SN366: c:0.02388419707954564 t0:0.058712543390167946 x0:6.130166447347111e-06 x1:0.09670386647305082 
SN367: c:0.04296133250843551 t0:0.23224538858306296 x0:0.00014083082656390932 x1:0.3376390684976421 
SN368: c:0.06560454571885835 t0:0.09047388521434603 x0:3.037751922312799e-05 x1:0.21663075439446763 
SN369: c:0.059461523752464884 t0:0.06493992535624141 x0:9.302369135305701e-06 x1:0.13791021740560253 
SN370: c:0.05935254872429638 t0:0.06638078839963575 x0:1.0275897939016546e-05 x1:0.1353486882325373 
SN371: c:0.02876782811619734 t0:0.060031827363250655 x0:7.223087666741596e-06 x1:0.08896612945918085 
SN372: c:0.036083166661537505 t0:0.05712191138925847 x0:6.239118551801577e-06 x1:0.10887886806201877 
SN373: c:0.07799667140338896 t0:56.331207306309274 x0:129.403180060485 x1:0.7864387176744857 
SN374: c:0.04479645136222703 t0:0.06345910337381513 x0:1.299874657336814e-05 x1:0.10465631867300036 
SN375: c:0.043042686120021455 t0:0.06332259246179875 x0:6.760794675504747e-06 x1:0.10651288953313363 
SN376: c:0.05764478895472962 t0:0.11333986860642731 x0:7.034870432272692e-06 x1:0.14947926572661166 
SN377: c:0.01971405435300476 t0:0.030838918819858438 x0:1.315464226826912e-05 x1:0.05848169442305597 
SN378: c:0.049301658948493005 t0:0.05983813779389553 x0:1.7550095548299747e-05 x1:0.08720001062592235 
SN379: c:0.03315690148416402 t0:0.04370643936213383 x0:1.0156011637202672e-05 x1:0.09092886524189035 
SN380: c:0.04615858277821251 t0:0.05538910535914768 x0:4.44565243388478e-05 x1:0.08711577369583036 
SN381: c:0.03933622235243586 t0:0.04957940571937308 x0:6.358756335634656e-06 x1:0.1149243363103092 
SN382: c:0.01939335124512354 t0:0.029674948386303357 x0:1.8626544128631595e-05 x1:0.05264025544901899 
SN383: c:0.04334730795063824 t0:0.058100730626554145 x0:2.044186028778449e-05 x1:0.08986947371846098 
SN384: c:0.020806178628160952 t0:0.03895078706833346 x0:1.692796435755184e-05 x1:0.04968897834396405 
SN385: c:0.12389807076177047 t0:0.3049958437743476 x0:2.014093503319384e-05 x1:0.6504707375190508 
SN386: c:0.016503283515878132 t0:0.028549788552642258 x0:6.859788857718413e-05 x1:0.04061266686631566 
SN387: c:0.05992800458705616 t0:0.05741565508314751 x0:9.95987011305172e-06 x1:0.12309436216620585 
SN388: c:0.0688913267227296 t0:0.059764843774078986 x0:7.471020647419495e-06 x1:0.1752584064799147 
SN389: c:0.024124422871256483 t0:0.08413969834412915 x0:4.861264733910486e-06 x1:0.12338006892029875 
SN390: c:0.05421930095442843 t0:0.05815500195382473 x0:5.736564448137802e-06 x1:0.15015733063556605 
SN391: c:0.06243982300430799 t0:0.06324099098446223 x0:6.073279878696445e-06 x1:0.138195235569389 
SN392: c:0.0542613766760163 t0:0.10248278399203001 x0:8.472656306159544e-06 x1:0.11448193332475298 
SN393: c:0.05560906794277479 t0:0.06288651149533189 x0:1.5674497802249935e-05 x1:0.13668582340252974 
SN394: c:0.01918514170621283 t0:0.03968109433206401 x0:2.784914452593204e-05 x1:0.05545749335475093 
SN395: c:0.04808140038162956 t0:0.0545218875057253 x0:5.078191472116134e-06 x1:0.13101411258000117 
SN396: c:0.0399404001839099 t0:0.05822999142802087 x0:9.357065663903289e-06 x1:0.06388608814370961 
SN397: c:0.3420944657865172 t0:0.2981605923237862 x0:0.00011695702423813964 x1:0.39490937336990456 
SN398: c:0.04193730868457748 t0:0.05982556077365395 x0:1.0089171891071538e-05 x1:0.09723261071474681 
SN399: c:0.05088062848218471 t0:0.13001872659146888 x0:5.711482146693511e-06 x1:0.13169805255704553 
SN400: c:0.15945597104393155 t0:0.34843762078324764 x0:6.0639372529134995e-05 x1:0.46893804048375937 
SN401: c:0.02731919701397479 t0:0.043729658783179824 x0:1.5166418148809215e-05 x1:0.07939711443084638 
SN402: c:0.056256082206261576 t0:0.06435401009960058 x0:9.020299693862903e-06 x1:0.13205626977676468 
SN403: c:0.06118606685905877 t0:0.06094943981509345 x0:8.784670088533998e-06 x1:0.1481404945894492 
SN404: c:0.05579457635564759 t0:0.06696076393702252 x0:7.157789758370395e-06 x1:0.13270663151118955 
SN405: c:0.05238492289842189 t0:0.06434997442176461 x0:1.0245988487264228e-05 x1:0.1171604642099341 
SN406: c:0.03586890538759221 t0:0.06302893445192996 x0:2.5520328485292372e-05 x1:0.103541735344689 
SN407: c:0.014370735463210953 t0:0.023576997248763543 x0:0.00014220790249993138 x1:0.024253393784112127 
SN408: c:0.02921617650193416 t0:0.05715141092285986 x0:1.0126317642241488e-05 x1:0.102581632140977 
SN409: c:0.04405843541667977 t0:0.059414181316328966 x0:1.620151892702951e-05 x1:0.08526442935802526 
SN410: c:0.018992264310298806 t0:0.039955325899007806 x0:1.3054890673437179e-05 x1:0.061044359845590986 
SN411: c:0.0384959549087137 t0:0.06284479212244871 x0:1.1058589162926045e-05 x1:0.09185200741483086 
SN412: c:0.031638953149616234 t0:0.06457912044689879 x0:7.4155289800667505e-06 x1:0.0975137557314915 
SN413: c:0.049748985002414585 t0:0.06278119287138452 x0:8.513255569374342e-06 x1:0.13043181443411644 
SN414: c:0.018425892729610177 t0:0.04539309695695125 x0:2.078618660486684e-05 x1:0.04912387393761362 
SN415: c:0.04573906930755049 t0:0.06251766988726187 x0:1.2656092824360808e-05 x1:0.11117529050983192 
SN416: c:0.013791575736846138 t0:0.03499974285634339 x0:2.01735356457645e-05 x1:0.04271720894124608 
SN417: c:0.05064532187009515 t0:0.0749220569448484 x0:9.376923313629684e-06 x1:0.1232422619700397 
SN418: c:0.054772651730690916 t0:0.06435088552431781 x0:6.916704553410093e-06 x1:0.13237303001728554 
SN419: c:0.03347957658802766 t0:0.05348849249776428 x0:5.048565523233002e-05 x1:0.08911087159408289 
SN420: c:0.08040808063014103 t0:0.07275998670153097 x0:1.901089429573004e-05 x1:0.20786597012537597 
SN421: c:0.03279535447504636 t0:0.13902728440685744 x0:7.606715587914423e-06 x1:0.11533688391010738 
SN422: c:0.05077523589684897 t0:0.061969505043132325 x0:9.308000269650863e-06 x1:0.11185472003645892 
SN423: c:0.019686669739629147 t0:0.04170444930754556 x0:7.966921200398213e-06 x1:0.06578835071292503 
SN424: c:0.05943910695821294 t0:0.06927996504315287 x0:8.118589773499864e-06 x1:0.15758459901651273 
SN425: c:0.06729543989769105 t0:0.12625527655264668 x0:1.078538859004107e-05 x1:0.2042327774287541 
SN426: c:0.045426231978273744 t0:0.06769084419763252 x0:5.602120109237047e-06 x1:0.1381582867389393 
SN427: c:0.025784908712877204 t0:0.037104708826305274 x0:3.346604911456475e-05 x1:0.044517873438818446 
SN428: c:0.03317184494584451 t0:0.04440081898748976 x0:1.6393120208369047e-05 x1:0.07074353904085227 
SN429: c:0.07050293356784164 t0:0.1073342415102825 x0:2.3780535282616266e-05 x1:0.2082296505493327 
SN430: c:0.0373218332066774 t0:0.04686253830404023 x0:4.127927185109583e-06 x1:0.13909475636895888 
SN431: c:0.14428610356610455 t0:0.15586295672782977 x0:3.628161238670093e-05 x1:0.23262238747931027 
SN432: c:0.06083907246239142 t0:0.06431824673575173 x0:5.74260246864927e-06 x1:0.1563161342098528 
SN433: c:0.07134259465073584 t0:0.06475919594132468 x0:1.907664575584098e-05 x1:0.13077398890325154 
SN434: c:0.06993309959294329 t0:0.11606509306811155 x0:3.6510040453530846e-05 x1:0.2611469718720236 
SN435: c:0.03616588618353987 t0:0.0600797031825789 x0:1.010368836765044e-05 x1:0.07688524633132518 
SN436: c:0.045137851431259035 t0:0.0658924720905659 x0:1.1883956890407624e-05 x1:0.12140564834849826 
SN437: c:0.02609502410761689 t0:0.051709723211816716 x0:1.140360179730909e-05 x1:0.07114360549347093 
SN438: c:0.06982192667145946 t0:0.1882678589805626 x0:7.781479336515337e-06 x1:0.3506516456648348 
SN439: c:0.03103268568791492 t0:0.057489577109356114 x0:4.95719871367409e-06 x1:0.11066328917757129 
SN440: c:0.0462881094858214 t0:0.06645452685400334 x0:8.798993318218217e-06 x1:0.08516574810678704 
SN441: c:0.042730681331977396 t0:0.0658155906850529 x0:4.612744866213252e-06 x1:0.14305301253661412 
SN442: c:0.10581332460175824 t0:0.2103268429325441 x0:1.5517147730404065e-05 x1:0.28112046259398193 
SN443: c:0.04776865536313471 t0:0.058217296867875544 x0:1.5368834967007074e-05 x1:0.09279650658325851 
SN444: c:0.03309657641318253 t0:0.0631635734469307 x0:7.738988774504769e-06 x1:0.10315210531632484 
SN445: c:0.06021016387281319 t0:0.06755785735796221 x0:8.175259710467044e-06 x1:0.15448261693842621 
SN446: c:0.02857959906574974 t0:0.06050655215022368 x0:8.597063852993479e-06 x1:0.0875528578467555 
SN447: c:0.04911880713356366 t0:0.049397503898860246 x0:7.189409426693417e-06 x1:0.10430389713634647 
SN448: c:0.01757823743049709 t0:0.04171355310463087 x0:2.186136323628765e-05 x1:0.05569844678600706 
SN449: c:0.02821167711640811 t0:0.04332796271551856 x0:3.3144970290337626e-05 x1:0.08646958473203081 
SN450: c:0.04489463075612042 t0:0.06068663351216349 x0:7.44706705784435e-06 x1:0.13031437125977466 
SN451: c:0.04470381545285186 t0:0.05504102691276428 x0:1.1222732416845045e-05 x1:0.09271133202803283 
SN452: c:0.05211151781717822 t0:0.055065735525422606 x0:2.832577091480165e-05 x1:0.0797476872966519 
SN453: c:0.0507586790200768 t0:0.07326975452274609 x0:1.1337494630705847e-05 x1:0.12496372841052171 
SN454: c:0.04000720864729257 t0:0.06585376972933525 x0:6.5788272272226996e-06 x1:0.1083149790885103 
SN455: c:0.035727368094058944 t0:0.06291823209952743 x0:4.488938531994352e-06 x1:0.12920823378847013 
SN456: c:0.06319049837096304 t0:0.048083510531899756 x0:1.0774181986848277e-05 x1:0.11998329159752352 
SN457: c:0.03210080101674513 t0:0.039753757850039644 x0:1.760365696792574e-05 x1:0.07509769983012127 
SN458: c:0.04075825045678702 t0:0.0550358104503531 x0:9.13778742673051e-06 x1:0.0981582014053834 
SN459: c:0.040045317130946396 t0:0.06176721968643523 x0:8.071115601752866e-06 x1:0.11259676569296075 
SN460: c:0.03761316592812934 t0:0.05199266692023272 x0:8.968218030452772e-06 x1:0.10003337140582134 
SN461: c:0.07554382523580605 t0:0.10729723371376398 x0:2.1009394147833002e-05 x1:0.24448150017813342 
SN462: c:0.04665925446093108 t0:0.06209131026960048 x0:1.3832169776771162e-05 x1:0.1426088236612592 
SN463: c:0.014383955060226862 t0:0.0334034150512949 x0:3.0135461232195732e-05 x1:0.04009064317936514 
SN464: c:0.16580067394569073 t0:0.05699671628376938 x0:4.204769128633191e-05 x1:0.14427105484558722 
SN465: c:0.06938488622044248 t0:0.09252708878159109 x0:1.3032900630903523e-05 x1:0.17350541652976764 
SN466: c:0.09096996074662135 t0:57.2264996188688 x0:0.01665022528533042 x1:0.738395722300908 
SN467: c:0.029885952673773263 t0:0.05659303231088756 x0:7.272045463714292e-06 x1:0.0945545013545708 
SN468: c:0.03675585333912556 t0:0.061346605136636305 x0:1.050498111725483e-05 x1:0.09551798524235863 
SN469: c:0.06351610110351877 t0:0.070113754926852 x0:8.847064120423626e-06 x1:0.13420121178971628 
SN470: c:0.049965216073278106 t0:0.0641551982743088 x0:6.9211312934295054e-06 x1:0.1408739798715862 
SN471: c:0.04345412866744466 t0:0.06937073597972539 x0:5.928484378509542e-06 x1:0.13716892129486394 
SN472: c:0.06062825642170963 t0:0.06274185968343074 x0:5.229262282627383e-06 x1:0.1574640684939559 
SN473: c:0.04621229369787102 t0:0.06545021459962486 x0:1.2023403715175407e-05 x1:0.11166131517785806 
SN474: c:0.03866110476580115 t0:0.060287535253875285 x0:8.367021850560132e-06 x1:0.11040868529291063 
SN475: c:0.041480774841837875 t0:0.04810753453225163 x0:8.251335102294952e-06 x1:0.09704057222002441 
SN476: c:0.06472939337651833 t0:0.07076311187123178 x0:7.551829196094337e-06 x1:0.1774984748137487 
SN477: c:0.05225681032696364 t0:0.061412017234233944 x0:8.558774137784768e-06 x1:0.12594062708557416 
SN478: c:0.02573318393094002 t0:0.03707004412080947 x0:1.5542760116100194e-05 x1:0.06936911410221004 
SN479: c:0.04291243377114205 t0:0.060698174072190345 x0:5.011718721290457e-06 x1:0.11995474009518861 
SN480: c:0.04469181321332021 t0:0.0503271996116042 x0:1.299553360108475e-05 x1:0.09867460126161513 
SN481: c:0.05528263309470468 t0:0.05963503024274435 x0:9.270187252296223e-06 x1:0.11505334558431275 
SN482: c:0.018908687578453306 t0:0.034940587685789594 x0:1.0534929540376098e-05 x1:0.0769443428039346 
SN483: c:0.05015630184733156 t0:0.052931579245180306 x0:9.790981197406014e-06 x1:0.11828106234595574 
SN484: c:0.03030581961723889 t0:0.06134092648820186 x0:7.901256593606822e-06 x1:0.08520108440725536 
SN485: c:0.04404157785063288 t0:0.05711881526044348 x0:2.0570366088838932e-05 x1:0.07601400245126319 
SN486: c:0.039737150186366775 t0:0.04467609146996189 x0:1.5137605814905195e-05 x1:0.07889869035737224 
SN487: c:0.0467436137080083 t0:0.0650879368739417 x0:4.881416124972189e-06 x1:0.17957603215738424 
SN488: c:0.047028798491587115 t0:0.06377666872997878 x0:1.399894815319472e-05 x1:0.09067536674102325 
SN489: c:0.08280721638408241 t0:0.07650770155807367 x0:1.608039735320664e-05 x1:0.22596671240840216 
SN490: c:0.08828639533512658 t0:0.04246454847909281 x0:8.166663185829125e-05 x1:0.1416817619537807 
SN491: c:0.04906614737611771 t0:0.05344919247513302 x0:3.468497958204466e-05 x1:0.0942447185150118 
SN492: c:0.02952199268293139 t0:0.05833764905063329 x0:5.928763407870905e-06 x1:0.10794880729849751 
SN493: c:0.047214028388049965 t0:0.06369859464485302 x0:6.860185666186462e-06 x1:0.11509155468171607 
SN494: c:0.021377660269456922 t0:0.05766224174559319 x0:1.0707722565025143e-05 x1:0.07274645668034598 
SN495: c:0.0356989021507625 t0:0.05272135711673534 x0:2.873359118144427e-05 x1:0.08274143641198829 
SN496: c:0.05347279930388869 t0:0.06685361469906038 x0:1.07281826522833e-05 x1:0.12972619859350906 
SN497: c:0.03565612458990617 t0:0.056950081201033516 x0:1.2498246090227463e-05 x1:0.09735917478865247 
SN498: c:0.05709583023982119 t0:0.06634925570258174 x0:7.800610616151112e-06 x1:0.12543682677567017 
SN499: c:0.016333775035056272 t0:0.036777324775387595 x0:1.3263260504956558e-05 x1:0.046665870503378885 
SN500: c:0.025945627967635478 t0:0.043702113079379275 x0:1.7127889701600594e-05 x1:0.06678616484979959 
SN501: c:0.0317501724445017 t0:0.0559945681398775 x0:2.2982593330977555e-05 x1:0.07792017738391542 
SN502: c:0.05955384114334853 t0:0.06774107452841804 x0:6.9315498982186895e-06 x1:0.13529791977433292 
SN503: c:0.033550029531878946 t0:0.06660001153026666 x0:4.871650046155458e-06 x1:0.09100973902915532 
SN504: c:0.027393727859820815 t0:0.049198162336802624 x0:5.0707393364389985e-06 x1:0.0832014849660707 
SN505: c:0.028789956817720064 t0:0.05088730961672583 x0:1.1327587146318297e-05 x1:0.07863413988652691 
SN506: c:0.05615696057099085 t0:0.06715935521204092 x0:1.0636433341264535e-05 x1:0.11421358564305786 
SN507: c:0.03843674313780897 t0:0.10381150445320851 x0:5.047720665380802e-06 x1:0.1338978070571983 
SN508: c:0.029971980999379498 t0:0.0329331246568791 x0:6.810985984037764e-05 x1:0.05252139872506922 
SN509: c:0.033885541589374485 t0:0.043064770771616294 x0:2.165554367353726e-05 x1:0.06202190219244981 
SN510: c:0.04256364347428261 t0:0.047737732629304794 x0:6.25531055715715e-06 x1:0.12365184829116507 
SN511: c:0.04426701445827898 t0:0.04732477563878979 x0:1.3590606403000077e-05 x1:0.10955139302683134 
SN512: c:0.05503206458176533 t0:0.06364332236608944 x0:9.740963785588395e-06 x1:0.14509688059947395 
SN513: c:0.029090532284440307 t0:0.059054006055969444 x0:7.275214980319744e-06 x1:0.08254365168620469 
SN514: c:0.059580289916779994 t0:0.06853872681954283 x0:8.878906844954884e-06 x1:0.08724745959423132 
SN515: c:0.04752864460638404 t0:0.07040878443841886 x0:5.544401990428519e-06 x1:0.14229917798938946 
