SN90: c:0.0728326966437772 mwebv:0.04424284205814866 t0:58900.59279670092 x0:0.0002616456207879795 x1:-1.1428266165890932 z:0.11401749540620297 
SN91: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN92: c:-0.2110090204552852 mwebv:0.018601332765541156 t0:58763.291921596894 x0:0.0002867706367010392 x1:1.2158210450446172 z:0.10456262246092264 
SN93: c:-0.17728699314987212 mwebv:0.00992073204722855 t0:58846.56697682342 x0:0.00017353327637793884 x1:-0.006270737299704478 z:0.14572512537581012 
SN94: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN95: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN96: c:0.03558406095388811 mwebv:0.1365767606780653 t0:58836.2000997274 x0:0.00034321775827482004 x1:-0.3937592285398922 z:0.14654087301452268 
SN97: c:0.055538586096177185 mwebv:0.14001245927845457 t0:58662.91880105645 x0:0.00024253131720952887 x1:-1.3846374138549113 z:0.13581400999768709 
SN98: c:0.05451269734099227 mwebv:0.1062295638760182 t0:58632.98152914535 x0:0.0004360331387760317 x1:-1.311464731263224 z:0.1013079867985234 
SN99: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN100: c:-0.9746495933293028 mwebv:0.13654857154288896 t0:58771.31635228982 x0:0.01122932986400628 x1:-1.2558436278816036 z:0.08156161495923844 
SN101: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN102: c:0.0379460186652769 mwebv:0.18191727027714719 t0:58660.71145536123 x0:0.00035226880402843203 x1:-0.7827399424143954 z:0.1190103952729612 
SN103: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN104: c:0.0689248029614675 mwebv:0.4704959881253626 t0:58917.60859363524 x0:0.0007589233400090499 x1:-7.988474636909394 z:0.06453103047516387 
SN105: c:0.03897348511425329 mwebv:0.05904125889987998 t0:58630.66897297212 x0:0.001484747204036994 x1:1.0195023657682758 z:0.06767986193716563 
SN106: c:0.00678779249716664 mwebv:0.04484685672259153 t0:58812.260140610364 x0:0.00019462674302716206 x1:-1.4701571377817917 z:0.12971723385618467 
SN107: c:-0.04556340197790375 mwebv:0.1487661234576999 t0:58888.96203325516 x0:0.0014131124444386133 x1:-0.38877134336358576 z:0.06313336998583904 
SN108: c:0.03625220219331503 mwebv:0.015167400274470066 t0:58783.35180639894 x0:0.00018112666490615595 x1:-1.5040147404407744 z:0.13177517652194884 
SN109: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN110: c:0.11197675977694498 mwebv:0.22912844937182145 t0:58825.44365888108 x0:0.0028225072112963326 x1:-2.385363710181652 z:0.046090491454193735 
SN111: c:0.015252976984042172 mwebv:0.1442459159447281 t0:58789.508229171945 x0:0.00020453993032875482 x1:-0.23951056181756508 z:0.10310470230246271 
SN112: c:0.04043039706484429 mwebv:0.12825174564260253 t0:58815.95741785803 x0:0.00043068585591401185 x1:0.031021124405361207 z:0.13509202083440247 
SN113: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN114: c:0.03646379953538445 mwebv:0.021650062509597043 t0:58642.70894205663 x0:0.00014737887566353928 x1:-0.21794871079556283 z:0.14939923215860332 
SN115: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN116: c:-0.07167978352253454 mwebv:0.0450390229884653 t0:58675.54768381348 x0:0.0005485741293242722 x1:-0.4397139431763046 z:0.09253161297269458 
SN117: c:0.03194352027065614 mwebv:0.45569627623518144 t0:58577.52084309715 x0:0.00032846540613939496 x1:-0.6106317772837914 z:0.11720869708914793 
SN118: c:0.01290317847521314 mwebv:0.07002296539322014 t0:58632.072039700426 x0:0.0013896576053866012 x1:-0.5802807580141118 z:0.06266771670340332 
SN119: c:0.0256282835039266 mwebv:0.03218197352443876 t0:58561.70809325301 x0:0.00023427161038774868 x1:-0.6681262316275005 z:0.12465279997852824 
SN120: c:0.04999758375930338 mwebv:0.11359679306109338 t0:58696.0332683877 x0:0.0017624214284793958 x1:-0.6744835293550306 z:0.1419457418860905 
SN121: c:0.04031426324863684 mwebv:0.5241731595877203 t0:58672.85774809284 x0:0.0021351956020083163 x1:-0.4164617224816421 z:0.06830478623548526 
SN122: c:0.07455738140115337 mwebv:0.13264504273636654 t0:58884.98846309367 x0:0.00040520712853819846 x1:-0.6418213040641003 z:0.14442274548599374 
SN123: c:0.0632626732111989 mwebv:0.05346812970826832 t0:58813.040474763955 x0:0.0015586770935949645 x1:-2.4624812035609898 z:0.04959376374374086 
SN124: c:-0.028814872719921284 mwebv:0.08417594513020843 t0:58803.02214162644 x0:0.0005597348715328727 x1:-1.2623882845542493 z:0.09582399593609678 
SN125: c:0.028132834100522894 mwebv:0.01551706583055552 t0:58847.73987869153 x0:0.0007623470356553336 x1:-0.24447893230747517 z:0.08775784995038825 
SN126: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN127: c:0.12150580934220834 mwebv:0.04473018696897233 t0:58634.92412738588 x0:0.001684930681302008 x1:-0.8161960597496044 z:0.055670270688270594 
